ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F23,โรคจิตอื่นๆ (F21-F29),4
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F29,โรคจิตอื่นๆ (F21-F29),25
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",4
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F33,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F41,โรควิตกกังวล (F40-F48),1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F43,โรควิตกกังวล (F40-F48),1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F54,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F55,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F70,ความบกพร่องทางสติปัญญา (F70-F79),1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F79,ความบกพร่องทางสติปัญญา (F70-F79),1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F91,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),G40,โรคลมชัก (G40-G41),2
